Source,Target,Weight
AM13,AM19,1
AM13,AM2,4
AM13,AM15,4
AM13,AM12,1
AM13,AM8,2
AM13,AM22,1
AM19,AM13,1
AM19,AM2,2
AM19,AM15,1
AM19,AM12,4
AM19,AM14,3
AM19,AM8,1
AM19,AM5,2
AM19,AM7,2
AM19,AM11,1
AM19,AM22,4
AM19,AM21,1
AM2,AM13,3
AM2,AM19,3
AM2,AM15,10
AM2,AM12,3
AM2,AM14,3
AM2,AM8,4
AM2,AM5,2
AM2,AM11,3
AM2,AM22,2
AM15,AM13,3
AM15,AM2,7
AM15,AM20,3
AM15,AM12,1
AM15,AM14,5
AM15,AM8,9
AM15,AM5,2
AM15,AM11,1
AM15,AM21,1
AM20,AM13,2
AM20,AM15,1
AM20,AM12,1
AM20,AM14,8
AM20,AM8,4
AM20,AM5,5
AM20,AM11,3
AM20,AM21,1
AM12,AM13,1
AM12,AM19,1
AM12,AM2,7
AM12,AM15,2
AM12,AM20,1
AM12,AM14,6
AM12,AM8,4
AM12,AM5,2
AM12,AM7,2
AM12,AM11,4
AM14,AM19,5
AM14,AM2,2
AM14,AM15,7
AM14,AM20,7
AM14,AM12,3
AM14,AM8,5
AM14,AM5,5
AM14,AM7,5
AM14,AM11,3
AM14,AM22,2
AM14,AM21,1
AM8,AM19,2
AM8,AM2,2
AM8,AM15,1
AM8,AM20,2
AM8,AM12,7
AM8,AM14,1
AM8,AM5,2
AM8,AM7,3
AM8,AM11,2
AM8,AM22,4
AM8,AM21,1
AM5,AM19,1
AM5,AM2,2
AM5,AM15,1
AM5,AM20,5
AM5,AM12,2
AM5,AM14,4
AM5,AM7,6
AM5,AM11,2
AM5,AM22,2
AM7,AM19,3
AM7,AM20,1
AM7,AM12,2
AM7,AM14,5
AM7,AM8,5
AM7,AM5,2
AM7,AM22,2
AM11,AM12,1
AM11,AM14,1
AM11,AM8,1
AM11,AM5,1
AM11,AM7,1
AM22,AM19,3
AM22,AM12,2
AM22,AM14,2
AM22,AM8,1
AM22,AM5,1
AM22,AM7,1
AM21,AM20,1
AM21,AM14,1
