Source,Target,Weight
LP1,LP23,1
LP1,LP17,11
LP1,LP3,11
LP1,LP12,1
LP1,LP4,4
LP1,LP24,1
LP23,LP17,7
LP23,LP3,1
LP23,LP6,1
LP23,LP4,6
LP23,LP20,6
LP23,LP7,4
LP23,LP9,6
LP23,LP24,4
LP17,LP1,9
LP17,LP23,8
LP17,LP3,9
LP17,LP6,4
LP17,LP4,10
LP17,LP20,2
LP17,LP7,4
LP17,LP9,2
LP17,LP24,13
LP3,LP1,6
LP3,LP23,2
LP3,LP17,17
LP3,LP12,15
LP3,LP6,12
LP3,LP4,4
LP3,LP20,7
LP3,LP7,2
LP3,LP9,4
LP3,LP24,1
LP12,LP1,2
LP12,LP17,3
LP12,LP3,11
LP12,LP6,3
LP12,LP4,4
LP12,LP20,5
LP12,LP7,14
LP12,LP9,4
LP12,LP24,6
LP6,LP1,1
LP6,LP23,2
LP6,LP17,7
LP6,LP3,11
LP6,LP12,10
LP6,LP4,2
LP6,LP20,3
LP6,LP7,3
LP6,LP24,3
LP4,LP1,2
LP4,LP23,8
LP4,LP17,6
LP4,LP3,9
LP4,LP12,6
LP4,LP6,5
LP4,LP20,6
LP4,LP7,3
LP4,LP9,4
LP4,LP24,2
LP20,LP23,10
LP20,LP17,1
LP20,LP3,2
LP20,LP12,6
LP20,LP4,6
LP20,LP7,2
LP20,LP9,5
LP20,LP24,5
LP7,LP23,4
LP7,LP17,1
LP7,LP3,2
LP7,LP12,10
LP7,LP6,3
LP7,LP4,1
LP7,LP20,1
LP7,LP9,1
LP7,LP24,2
LP9,LP23,2
LP9,LP6,3
LP9,LP4,1
LP9,LP20,3
LP9,LP7,1
LP24,LP23,1
LP24,LP17,3
LP24,LP3,2
LP24,LP12,4
LP24,LP6,5
LP24,LP4,5
LP24,LP20,10
LP24,LP7,3
LP24,LP9,3
