Source,Target,Weight
MAL1,MAL7,2
MAL1,MAL22,7
MAL1,MAL4,4
MAL1,MAL11,3
MAL1,MAL8,1
MAL1,MAL24,1
MAL1,MAL16,2
MAL1,MAL10,1
MAL1,MAL9,1
MAL7,MAL22,4
MAL7,MAL4,1
MAL7,MAL18,2
MAL7,MAL11,8
MAL7,MAL8,4
MAL7,MAL24,3
MAL7,MAL16,1
MAL22,MAL1,7
MAL22,MAL7,6
MAL22,MAL4,4
MAL22,MAL11,4
MAL22,MAL8,6
MAL22,MAL24,6
MAL22,MAL5,2
MAL22,MAL9,3
MAL4,MAL1,5
MAL4,MAL22,1
MAL4,MAL18,6
MAL4,MAL11,7
MAL4,MAL8,11
MAL4,MAL24,2
MAL4,MAL20,1
MAL4,MAL5,2
MAL4,MAL10,4
MAL18,MAL1,1
MAL18,MAL7,1
MAL18,MAL4,2
MAL18,MAL11,1
MAL18,MAL8,2
MAL18,MAL24,1
MAL18,MAL16,3
MAL18,MAL20,10
MAL18,MAL5,3
MAL18,MAL10,4
MAL18,MAL9,1
MAL11,MAL7,4
MAL11,MAL22,2
MAL11,MAL4,2
MAL11,MAL18,1
MAL11,MAL8,2
MAL11,MAL24,7
MAL11,MAL16,4
MAL11,MAL5,1
MAL11,MAL10,3
MAL11,MAL17,2
MAL8,MAL1,1
MAL8,MAL7,6
MAL8,MAL22,5
MAL8,MAL4,4
MAL8,MAL18,5
MAL8,MAL11,6
MAL8,MAL24,3
MAL8,MAL16,2
MAL8,MAL20,3
MAL8,MAL5,1
MAL8,MAL10,2
MAL8,MAL17,2
MAL24,MAL7,2
MAL24,MAL11,8
MAL24,MAL8,1
MAL24,MAL16,2
MAL24,MAL5,2
MAL16,MAL7,1
MAL16,MAL18,2
MAL16,MAL11,3
MAL16,MAL8,3
MAL20,MAL4,2
MAL20,MAL18,5
MAL20,MAL24,1
MAL20,MAL16,1
MAL20,MAL5,1
MAL5,MAL22,1
MAL5,MAL4,1
MAL5,MAL18,4
MAL5,MAL11,2
MAL5,MAL8,2
MAL5,MAL20,1
MAL10,MAL7,1
MAL10,MAL4,1
MAL10,MAL18,3
MAL10,MAL11,1
MAL10,MAL8,1
MAL10,MAL24,1
MAL10,MAL17,1
MAL10,MAL9,2
MAL17,MAL4,1
MAL17,MAL18,1
MAL17,MAL24,2
MAL17,MAL9,1
MAL9,MAL24,1
MAL9,MAL17,2
