Source,Target,Weight
LP13,LP23,1
LP13,LP16,5
LP13,LP22,3
LP13,LP18,1
LP13,LP25,2
LP13,LP10,3
LP13,LP9,3
LP13,LP8,1
LP13,LP7,1
LP23,LP13,2
LP23,LP16,6
LP23,LP18,4
LP23,LP25,4
LP23,LP21,7
LP23,LP9,2
LP23,LP8,7
LP23,LP7,2
LP16,LP13,10
LP16,LP23,8
LP16,LP22,5
LP16,LP12,2
LP16,LP18,2
LP16,LP25,3
LP16,LP21,3
LP16,LP9,2
LP16,LP8,2
LP16,LP7,1
LP22,LP13,6
LP22,LP16,5
LP22,LP12,3
LP22,LP18,3
LP22,LP25,4
LP22,LP21,2
LP22,LP10,3
LP22,LP9,4
LP12,LP23,1
LP12,LP22,4
LP12,LP18,1
LP12,LP25,4
LP12,LP21,1
LP12,LP10,7
LP12,LP9,2
LP18,LP23,13
LP18,LP16,6
LP18,LP22,3
LP18,LP25,6
LP18,LP21,6
LP18,LP10,1
LP18,LP8,3
LP25,LP13,1
LP25,LP23,3
LP25,LP16,5
LP25,LP22,5
LP25,LP12,5
LP25,LP18,6
LP25,LP21,4
LP25,LP10,5
LP25,LP9,4
LP25,LP8,1
LP21,LP13,1
LP21,LP23,2
LP21,LP16,4
LP21,LP22,2
LP21,LP12,2
LP21,LP18,4
LP21,LP25,8
LP21,LP10,5
LP21,LP9,3
LP21,LP8,4
LP21,LP7,1
LP10,LP16,1
LP10,LP22,1
LP10,LP12,2
LP10,LP18,2
LP10,LP25,3
LP10,LP21,5
LP10,LP9,2
LP9,LP23,1
LP9,LP12,2
LP9,LP25,1
LP9,LP21,6
LP9,LP10,1
LP9,LP8,1
LP8,LP23,9
LP8,LP22,1
LP8,LP18,3
LP8,LP21,2
LP8,LP10,1
LP7,LP23,3
LP7,LP25,1
LP7,LP10,1
