Source,Target,Weight
RM1,RM12,3
RM1,RM4,2
RM1,RM5,3
RM1,RM10,2
RM1,RM14,1
RM1,RM2,4
RM8,RM1,2
RM8,RM12,14
RM8,RM4,3
RM8,RM5,2
RM8,RM10,5
RM8,RM23,5
RM8,RM14,5
RM8,RM9,1
RM8,RM7,3
RM8,RM2,4
RM12,RM8,9
RM12,RM4,4
RM12,RM5,1
RM12,RM10,1
RM12,RM23,4
RM12,RM14,5
RM12,RM9,4
RM12,RM7,9
RM12,RM2,1
RM4,RM1,1
RM4,RM8,7
RM4,RM12,9
RM4,RM5,4
RM4,RM10,3
RM4,RM23,2
RM4,RM14,1
RM4,RM2,2
RM5,RM1,2
RM5,RM8,3
RM5,RM4,6
RM5,RM10,2
RM5,RM23,1
RM5,RM14,2
RM5,RM9,2
RM5,RM7,1
RM5,RM2,4
RM10,RM8,5
RM10,RM12,5
RM10,RM4,2
RM10,RM5,2
RM10,RM23,5
RM10,RM14,2
RM10,RM9,2
RM10,RM7,7
RM10,RM2,9
RM23,RM8,4
RM23,RM12,3
RM23,RM4,2
RM23,RM5,2
RM23,RM10,6
RM23,RM1,7
RM23,RM7,2
RM23,RM2,2
RM14,RM1,2
RM14,RM8,4
RM14,RM12,4
RM14,RM4,5
RM14,RM5,4
RM14,RM10,3
RM14,RM23,3
RM14,RM9,1
RM14,RM2,4
RM9,RM8,1
RM9,RM4,1
RM9,RM10,1
RM9,RM23,1
RM9,RM14,1
RM9,RM7,1
RM9,RM2,6
RM7,RM8,3
RM7,RM12,6
RM7,RM4,1
RM7,RM5,1
RM7,RM10,2
RM7,RM23,2
RM7,RM9,4
RM7,RM2,1
RM2,RM1,1
RM2,RM8,1
RM2,RM12,1
RM2,RM4,1
RM2,RM5,6
RM2,RM10,12
RM2,RM23,5
RM2,RM14,4
RM2,RM9,3
RM2,RM7,4
